"","SALE_ID","NEIGHBORHOOD_ID","BUILDING_CLASS_FINAL_ROLL","ADDRESS","APARTMENT_NUMBER","ZIP_CODE","RESIDENTIAL_UNITS","COMMERCIAL_UNITS","GROSS_SQUARE_FEET","YEAR_BUILT","SALE_PRICE","SALE_DATE","DESCRIPTION","TYPE","NEIGHBORHOOD_NAME","BOROUGH_ID"
"9608",1286941,235,"RG","531 52ND   STREET","P14",11220,0,0,0,2006,0,2016-05-17,"INDOOR PARKING","COMMERCIAL","SUNSET PARK","3"
"9609",1286942,235,"RG","531 52ND   STREET","P15",11220,0,0,0,2006,0,2016-05-17,"INDOOR PARKING","COMMERCIAL","SUNSET PARK","3"
"9610",1286943,235,"RG","531 52ND   STREET","P16",11220,0,0,0,2006,0,2016-05-17,"INDOOR PARKING","COMMERCIAL","SUNSET PARK","3"
"9611",1286944,235,"RG","531 52ND   STREET","P17",11220,0,0,0,2006,0,2016-05-17,"INDOOR PARKING","COMMERCIAL","SUNSET PARK","3"
"9612",1286945,235,"RG","531 52ND   STREET","P24",11220,0,0,0,0,0,2016-05-17,"INDOOR PARKING","COMMERCIAL","SUNSET PARK","3"
"9613",1287244,235,"B2","613 40TH   STREET",NA,11232,2,0,3000,1910,1650000,2016-05-18,"TWO FAMILY FRAME","RESIDENTIAL","SUNSET PARK","3"
"9614",1287245,235,"B2","734 42ND   STREET",NA,11232,2,0,3072,1925,950000,2016-05-18,"TWO FAMILY FRAME","RESIDENTIAL","SUNSET PARK","3"
"9615",1287704,235,"C0","342 51ST   STREET",NA,11220,3,0,3048,1925,365000,2016-05-19,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9616",1287705,235,"C0","464 56TH   STREET",NA,11220,3,0,2640,1899,993000,2016-05-19,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9617",1287706,235,"C6","531 41 STREET, C-8",NA,11232,0,0,0,1927,330000,2016-05-19,"WALK-UP COOPERATIVE","RESIDENTIAL","SUNSET PARK","3"
"9618",1287707,235,"R4","233 34TH STREET","2E",11232,1,0,0,2013,623169,2016-05-19,"CONDO; RESIDENTIAL UNIT IN ELEVATOR BLDG.","RESIDENTIAL","SUNSET PARK","3"
"9619",1288305,235,"B1","647 49TH   STREET",NA,11220,2,0,1920,1910,0,2016-05-21,"TWO FAMILY BRICK","RESIDENTIAL","SUNSET PARK","3"
"9620",1288430,235,"B9","219 22ND STREET",NA,11232,2,0,1620,1910,0,2016-05-23,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9621",1288730,235,"S2","673 47 STREET",NA,11220,2,1,3831,1919,2200000,2016-05-24,"PRIMARILY 2 FAMILY WITH 1 STORE OR OFFICE","MIXED","SUNSET PARK","3"
"9622",1288731,235,"B2","329 20TH STREET",NA,11215,2,0,1110,1901,450000,2016-05-24,"TWO FAMILY FRAME","RESIDENTIAL","SUNSET PARK","3"
"9623",1289145,235,"B2","290 17TH STREET",NA,11215,2,0,2090,1920,1160000,2016-05-25,"TWO FAMILY FRAME","RESIDENTIAL","SUNSET PARK","3"
"9624",1289146,235,"C0","186 22ND   STREET",NA,11232,3,0,1998,1910,735000,2016-05-25,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9625",1289572,235,"B9","464 48TH   STREET",NA,11220,2,0,2280,1910,990000,2016-05-26,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9626",1289573,235,"B9","434 57 STREET",NA,11220,2,0,2940,1910,0,2016-05-26,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9627",1289574,235,"R4","599 4TH AVENUE","4A",11215,1,0,0,0,650000,2016-05-26,"CONDO; RESIDENTIAL UNIT IN ELEVATOR BLDG.","RESIDENTIAL","SUNSET PARK","3"
"9628",1289575,235,"S9","473 48TH STREET",NA,11220,2,2,5600,1910,253500,2016-05-26,"SINGLE OR MULTIPLE DWELLING WITH STORES OR OFFICES","MIXED","SUNSET PARK","3"
"9629",1289576,235,"R1","324 22ND STREET","2A",11215,1,0,0,0,795000,2016-05-26,"CONDO; RESIDENTIAL UNIT IN 2-10 UNIT BLDG.","RESIDENTIAL","SUNSET PARK","3"
"9630",1289969,235,"B1","571 41ST   STREET",NA,11232,2,0,2985,1910,379000,2016-05-27,"TWO FAMILY BRICK","RESIDENTIAL","SUNSET PARK","3"
"9631",1290203,235,"B1","754 54TH STREET",NA,11220,2,0,3120,1899,0,2016-05-28,"TWO FAMILY BRICK","RESIDENTIAL","SUNSET PARK","3"
"9632",1290367,235,"B9","636 57TH STREET",NA,11220,2,0,3090,1910,0,2016-05-31,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9633",1290368,235,"B9","640 57TH STREET",NA,11220,2,0,3090,1910,950000,2016-05-31,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9634",1290369,235,"C0","168 27TH STREET",NA,11232,3,0,2700,1910,0,2016-05-31,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9635",1290370,235,"C0","168 27TH STREET",NA,11232,3,0,2700,1910,0,2016-05-31,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9636",1290371,235,"C0","739 46TH   STREET",NA,11220,3,0,3432,1925,990000,2016-05-31,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9637",1290372,235,"S9","4802 8TH AVENUE",NA,11220,3,2,4480,1925,3050000,2016-05-31,"SINGLE OR MULTIPLE DWELLING WITH STORES OR OFFICES","MIXED","SUNSET PARK","3"
"9638",1290373,235,"R1","4606 6 AVENUE","2F",11220,1,0,0,1928,397000,2016-05-31,"CONDO; RESIDENTIAL UNIT IN 2-10 UNIT BLDG.","RESIDENTIAL","SUNSET PARK","3"
"9639",1290374,235,"E1","218 31ST STREET",NA,11232,0,1,2661,1990,0,2016-05-31,"FIREPROOF WAREHOUSE","COMMERCIAL","SUNSET PARK","3"
"9640",1290728,235,"R4","462 52ND   STREET","5A",11220,1,0,0,0,450000,2016-06-01,"CONDO; RESIDENTIAL UNIT IN ELEVATOR BLDG.","RESIDENTIAL","SUNSET PARK","3"
"9641",1291324,235,"C0","424 45TH STREET",NA,11220,3,0,2492,1901,1100000,2016-06-02,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9642",1291325,235,"R4","531 52ND STREET","1E",11220,1,0,0,0,550000,2016-06-02,"CONDO; RESIDENTIAL UNIT IN ELEVATOR BLDG.","RESIDENTIAL","SUNSET PARK","3"
"9643",1291326,235,"RG","531 52ND   STREET","P22",11220,0,0,0,2006,0,2016-06-02,"INDOOR PARKING","COMMERCIAL","SUNSET PARK","3"
"9644",1291625,235,"C6","728 41ST STREET, 4F",NA,11232,0,0,0,1928,310000,2016-06-03,"WALK-UP COOPERATIVE","RESIDENTIAL","SUNSET PARK","3"
"9645",1291626,235,"R4","282 21ST STREET","8",11215,1,0,0,2008,10,2016-06-03,"CONDO; RESIDENTIAL UNIT IN ELEVATOR BLDG.","RESIDENTIAL","SUNSET PARK","3"
